年月日,陸の平均気圧(hPa),降水量(mm),平均気温(℃),最高気温,最低気温,平均湿度(%),最小湿度,平均風速(m/s),最大瞬間風速(m/s),日照時間(h),降雪量(cm)
2013/3,967.7,0.0,-0.6,3.9,-2.4,73.0,52.0,2.9,10.6,2.4,1.0
2013/3,966.5,0.0,1.0,6.6,-1.8,61.0,37.0,2.3,10.9,7.7,0.0
2013/3,969.8,0.0,1.9,8.0,-3.5,63.0,41.0,2.5,10.2,9.9,0.0
2013/3,969.3,0.0,4.3,14.0,-3.9,62.0,20.0,2.4,12.0,9.1,0.0
2013/3,965.3,0.0,8.5,19.3,-0.7,52.0,18.0,1.6,8.1,8.3,0.0
2013/3,957.1,0.5,10.2,18.9,4.4,53.0,22.0,3.2,16.1,5.8,0.0
2013/3,961.3,0.0,7.5,13.9,2.8,61.0,35.0,2.7,10.1,10.4,0.0
2013/3,959.7,2.0,2.7,16.4,-2.4,76.0,45.0,4.3,20.2,3.2,0.0
2013/3,972.1,0.0,-0.8,3.5,-3.8,64.0,38.0,4.3,14.6,8.4,1.0
2013/3,968.9,0.0,4.1,15.3,-5.4,51.0,17.0,1.6,7.6,10.6,0.0
2013/3,959.7,7.5,8.5,21.9,0.4,61.0,26.0,4.0,15.3,5.8,0.0
2013/3,971.7,0.0,0.3,2.9,-2.4,70.0,53.0,4.8,14.3,5.8,0.0
2013/3,973.0,0.0,3.3,13.6,-4.7,59.0,27.0,1.8,8.5,11.1,0.0
2013/3,968.6,0.0,5.3,16.5,-1.8,61.0,11.0,3.0,17.5,10.0,0.0
2013/3,969.1,0.0,8.2,19.3,-1.0,52.0,16.0,1.9,8.8,11.0,0.0
2013/3,956.6,2.0,14.9,19.8,8.9,56.0,32.0,5.8,21.0,2.1,0.0
2013/3,961.6,0.0,11.1,19.0,6.8,76.0,38.0,2.7,14.3,10.4,0.0
2013/3,955.2,0.0,11.8,19.8,6.0,60.0,19.0,2.8,19.4,3.1,0.0
2013/3,962.9,0.0,1.1,7.9,-1.3,66.0,43.0,4.6,14.5,9.5,0.0
2013/3,960.6,0.0,5.8,15.6,-2.7,57.0,30.0,2.0,11.5,9.8,0.0
2013/3,963.8,0.0,3.5,6.8,0.7,66.0,49.0,3.9,12.3,6.2,0.0
2013/3,960.2,0.0,6.8,17.0,-0.7,61.0,28.0,2.2,10.7,8.7,0.0
2013/3,958.9,0.0,5.2,11.2,-0.2,68.0,43.0,3.0,11.6,3.1,0.0
2013/3,970.0,0.0,1.8,7.5,-2.2,60.0,36.0,3.6,14.8,10.8,0.0
2013/3,969.6,0.0,8.5,16.6,-1.5,51.0,24.0,2.7,12.3,3.7,0.0
2013/3,964.2,0.0,12.4,22.5,6.5,62.0,32.0,2.4,11.8,7.1,0.0
2013/3,964.1,0.0,7.8,12.5,4.0,77.0,56.0,3.5,13.9,3.0,0.0
2013/3,970.9,0.0,4.1,8.9,2.5,67.0,50.0,4.0,11.7,6.1,0.0
2013/3,968.4,2.5,4.2,9.0,1.3,79.0,61.0,1.7,7.7,1.3,0.0
2013/4,973.1,0.0,7.1,15.4,0.9,56.0,20.0,2.0,8.9,10.6,0.0
2013/4,964.1,7.5,10.8,19.2,3.9,64.0,40.0,3.8,12.3,5.6,0.0
2013/4,954.7,22.5,9.3,12.7,7.7,87.0,65.0,3.5,15.0,0.1,0.0
2013/4,967.0,0.0,10.3,15.6,6.1,71.0,51.0,2.4,10.0,8.1,0.0
2013/4,968.0,0.0,12.5,21.8,3.3,59.0,28.0,1.9,10.5,10.9,0.0
2013/4,953.9,11.0,14.6,19.6,10.9,65.0,35.0,5.5,20.7,1.2,0.0
2013/4,936.2,3.0,11.1,16.4,3.8,66.0,28.0,4.9,20.5,3.4,0.0
2013/4,958.2,0.0,7.7,14.5,1.8,50.0,18.0,3.5,15.9,11.6,0.0
2013/4,959.9,2.0,8.7,19.4,1.7,62.0,25.0,3.0,12.3,9.6,0.0
2013/4,961.8,0.0,5.7,12.6,2.0,68.0,41.0,3.5,12.3,6.0,0.0
2013/4,962.3,0.0,5.0,12.3,1.3,65.0,24.0,2.3,12.6,5.1,0.0
2013/4,963.3,1.0,4.3,11.6,0.3,70.0,31.0,2.3,10.9,6.5,0.0
2013/4,965.7,0.0,6.5,14.4,-1.0,59.0,28.0,2.1,9.7,12.1,0.0
2013/4,959.0,0.0,14.9,23.7,6.2,35.0,14.0,4.5,13.4,10.4,0.0
2013/4,958.8,2.5,9.0,17.6,3.1,68.0,42.0,3.2,14.2,8.6,0.0
2013/4,961.3,0.0,13.3,24.3,3.4,54.0,30.0,2.5,12.9,9.0,0.0
2013/4,960.1,0.0,14.7,22.9,9.4,62.0,35.0,2.6,11.1,9.6,0.0
2013/4,956.8,0.5,13.9,24.5,7.3,69.0,33.0,2.8,14.0,8.9,0.0
2013/4,963.0,0.5,6.0,9.7,2.8,59.0,28.0,5.1,15.3,9.9,0.0
2013/4,966.5,3.0,4.1,10.3,0.9,73.0,39.0,2.1,8.9,4.2,0.0
2013/4,962.7,12.0,1.7,6.1,-0.5,85.0,67.0,2.3,13.6,1.5,5.0
2013/4,971.0,0.0,4.7,12.1,-1.5,59.0,23.0,2.4,10.1,8.2,0.0
2013/4,973.1,0.0,9.5,18.5,-0.7,51.0,21.0,1.5,6.1,8.9,0.0
2013/4,961.8,4.0,12.9,15.7,9.5,66.0,47.0,4.4,12.5,0.0,0.0
2013/4,957.9,0.0,13.8,20.7,7.4,49.0,22.0,3.1,12.0,12.4,0.0
2013/4,954.2,4.5,8.4,12.0,4.5,76.0,57.0,2.2,11.1,2.9,0.0
2013/4,962.0,1.0,7.7,13.3,4.5,63.0,26.0,2.0,11.7,3.8,0.0
2013/4,969.3,0.0,9.2,15.7,1.8,48.0,22.0,3.8,16.1,11.9,0.0
2013/4,967.0,0.0,13.1,23.6,2.2,43.0,16.0,1.5,7.8,10.2,0.0
2013/4,957.3,0.0,14.3,19.9,9.7,58.0,47.0,4.2,13.9,0.3,0.0
2013/5,954.1,0.0,8.1,12.9,4.8,69.0,50.0,3.5,11.7,4.1,0.0
2013/5,960.4,0.0,6.7,12.9,2.6,67.0,37.0,3.9,15.0,6.6,0.0
2013/5,964.4,0.0,8.3,14.8,3.4,64.0,39.0,2.9,12.6,10.2,0.0
2013/5,966.7,0.0,10.0,17.6,2.7,60.0,29.0,2.6,10.2,8.6,0.0
2013/5,968.4,0.0,12.3,21.2,4.1,54.0,25.0,2.2,12.0,12.2,0.0
2013/5,962.6,0.0,14.4,25.1,6.0,51.0,18.0,3.1,18.1,9.9,0.0
2013/5,967.9,0.0,8.0,13.4,3.2,61.0,32.0,5.8,16.6,11.2,0.0
2013/5,969.7,0.0,9.8,18.1,2.3,52.0,23.0,3.0,12.4,12.4,0.0
2013/5,966.4,0.0,15.5,28.9,4.2,43.0,17.0,1.7,8.2,12.5,0.0
2013/5,960.3,0.0,17.6,29.3,9.0,46.0,14.0,3.2,19.6,4.6,0.0
2013/5,955.6,21.0,15.7,19.9,12.8,81.0,62.0,2.6,11.5,0.0,0.0
2013/5,959.7,0.0,16.9,23.6,11.2,61.0,19.0,2.3,10.7,11.7,0.0
2013/5,963.5,0.0,19.9,31.7,10.3,48.0,10.0,2.2,13.3,11.0,0.0
2013/5,965.7,0.0,20.1,29.4,11.7,48.0,16.0,2.4,12.8,11.9,0.0
2013/5,963.5,0.0,21.3,31.0,15.0,50.0,11.0,4.4,16.1,11.6,0.0
2013/5,966.1,0.0,14.3,19.6,11.0,76.0,50.0,3.6,13.6,5.8,0.0
2013/5,968.7,0.0,14.7,22.2,9.7,51.0,17.0,3.3,11.8,12.7,0.0
2013/5,964.2,0.0,17.0,26.3,7.9,56.0,32.0,2.3,11.2,11.0,0.0
2013/5,955.8,2.5,17.7,23.9,14.2,64.0,36.0,4.0,14.0,3.2,0.0
2013/5,953.6,0.0,19.4,27.2,13.6,70.0,47.0,2.9,11.5,10.9,0.0
2013/5,958.2,0.0,18.9,25.2,14.2,68.0,44.0,3.3,15.2,11.1,0.0
2013/5,961.1,0.0,19.1,30.4,12.3,63.0,15.0,2.5,13.2,9.5,0.0
2013/5,964.2,0.0,17.0,23.5,11.4,56.0,32.0,3.0,14.0,12.7,0.0
2013/5,966.5,0.0,17.1,25.6,9.2,47.0,25.0,2.7,12.5,13.1,0.0
2013/5,969.1,0.0,20.1,29.7,10.1,46.0,15.0,2.5,9.7,11.8,0.0
2013/5,971.8,0.0,21.7,29.4,15.8,55.0,30.0,2.6,10.0,6.7,0.0
